Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ccs03430:Mismatch repair	5	2.5906735751295336	0.009261242339707007	7330180, 7332409, 7331569, 7331447, 7331568	69	16	1235	5.593297101449275	0.5069447119815138	0.7038544178177325	0.7038544178177325
UP_SEQ_FEATURE	ACT_SITE:Proton acceptor	10	5.181347150259067	0.03537519365298014	7331749, 7332573, 7330757, 7330977, 7333162, 7332618, 7331212, 7333171, 7331922, 7333324	151	90	2976	2.1898454746136866	0.9947960848541288	1.0	1.0
GOTERM_MF_DIRECT	GO:0005507~copper ion binding	3	1.5544041450777202	0.039806153286911436	7331399, 7329765, 7332515	132	6	2353	8.912878787878787	0.9958461194859991	1.0	1.0
INTERPRO	IPR010982:Lambda_DNA-bd_dom_sf	6	3.1088082901554404	0.043387377401023094	7330606, 7332231, 7329808, 7331675, 7331146, 7329769	172	38	3317	3.0449816401468786	0.9999999996521207	1.0	1.0
KEGG_PATHWAY	ccs03030:DNA replication	4	2.072538860103627	0.05339899348277951	7332409, 7331569, 7331447, 7331568	69	16	1235	4.474637681159421	0.9845585135169032	1.0	1.0
INTERPRO	IPR020904:Sc_DH/Rdtase_CS	4	2.072538860103627	0.06211325008211671	7330292, 7331193, 7331212, 7332235	172	18	3317	4.285529715762274	0.9999999999999788	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	24	12.435233160621761	0.07859894328305461	7331726, 7331417, 7330614, 7330229, 7331923, 7329921, 7329744, 7329944, 7331073, 7332572, 7329791, 7329692, 7331532, 7331564, 7331399, 7332515, 7333422, 7331724, 7330745, 7330821, 7333006, 7332522, 7330974, 7332930	56	254	788	1.3295838020247468	0.97272636251732	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	5	2.5906735751295336	0.08181645132350902	7332409, 7332405, 7332498, 7331569, 7331447	94	32	1781	2.960438829787234	0.949588136714379	1.0	1.0
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	5	2.5906735751295336	0.08186405205866729	7331749, 7330383, 7329772, 7329771, 7329767	132	30	2353	2.970959595959596	0.9999901724811809	1.0	1.0
KEGG_PATHWAY	ccs03440:Homologous recombination	4	2.072538860103627	0.09301039934020729	7330180, 7332409, 7331569, 7331447	69	20	1235	3.579710144927536	0.9994005190664508	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cytochrome oxidase subunit II copper A binding	2	1.0362694300518136	0.09828205475755233	7331399, 7332515	151	2	2976	19.708609271523176	0.99999972437154	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cytochrome oxidase subunit II transmembrane region profile	2	1.0362694300518136	0.09828205475755233	7331399, 7332515	151	2	2976	19.708609271523176	0.99999972437154	1.0	1.0
UP_SEQ_FEATURE	BINDING:via carbamate group	2	1.0362694300518136	0.09828205475755233	7330977, 7333162	151	2	2976	19.708609271523176	0.99999972437154	1.0	1.0
