Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	42	21.53846153846154	1.9245136366302443E-40	7330328, 7332946, 7333044, 7333045, 7330170, 7333047, 7333040, 7333041, 7333042, 7333043, 7331467, 7330774, 7331466, 7330696, 7330773, 7333328, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7329844, 7333055, 7332220, 7332221, 7333057, 7333051, 7330484, 7333052, 7333053, 7333054, 7331896, 7330485, 7332208, 7333037, 7332124, 7330327, 7333038, 7333039	151	54	2353	12.119941133186165	2.251680954857386E-38	2.251680954857386E-38	2.213190682124781E-38
GOTERM_BP_DIRECT	GO:0006412~translation	43	22.05128205128205	5.900447207736531E-34	7330328, 7332946, 7333044, 7332593, 7333045, 7330170, 7333047, 7333040, 7333041, 7333042, 7333043, 7331467, 7330774, 7331466, 7330696, 7330773, 7333328, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7329844, 7333055, 7332220, 7332221, 7333057, 7333051, 7330484, 7333052, 7333053, 7333054, 7331896, 7330485, 7332208, 7333037, 7332124, 7330327, 7333038, 7333039	119	62	1417	8.258471130387639	5.133389070730782E-32	5.074384598653416E-32	5.074384598653416E-32
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	32	16.41025641025641	3.292465114242317E-32	7330328, 7332946, 7333044, 7332593, 7333045, 7333047, 7333040, 7333041, 7333042, 7333043, 7330774, 7331466, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7333055, 7333057, 7333051, 7330484, 7333052, 7333053, 7333054, 7332866, 7332124, 7330327, 7333038, 7333039	151	38	2353	13.12234227953991	3.852184183663511E-30	1.9260920918317556E-30	1.8931674406893322E-30
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	37	18.974358974358974	3.8141685586538678E-31	7330328, 7332946, 7333044, 7333045, 7333047, 7333040, 7333041, 7333042, 7331467, 7331466, 7330696, 7330773, 7333328, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7329844, 7333055, 7332220, 7332221, 7333057, 7330484, 7333052, 7333053, 7333054, 7331896, 7330485, 7332208, 7333037, 7332124, 7330327, 7333039	135	51	1781	9.571096586782861	1.1061088820096217E-29	1.1061088820096217E-29	9.154004540769282E-30
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	36	18.461538461538463	4.7075406595652145E-30	7330328, 7332946, 7333044, 7333045, 7333047, 7333040, 7333041, 7333042, 7331467, 7331466, 7330696, 7330773, 7333328, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7329844, 7333055, 7332220, 7332221, 7333057, 7330484, 7333052, 7333053, 7333054, 7330485, 7332208, 7333037, 7332124, 7330327, 7333039	135	50	1781	9.498666666666667	1.3651867912739122E-28	6.825933956369561E-29	5.649048791478258E-29
KEGG_PATHWAY	ccs03010:Ribosome	42	21.53846153846154	9.807462108665093E-30	7330328, 7332946, 7333044, 7333045, 7330170, 7333047, 7333040, 7333041, 7333042, 7333043, 7331467, 7330774, 7331466, 7330696, 7330773, 7333328, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7329844, 7333055, 7332220, 7332221, 7333057, 7333051, 7330484, 7333052, 7333053, 7333054, 7331896, 7330485, 7332208, 7333037, 7332124, 7330327, 7333038, 7333039	126	60	1235	6.861111111111111	6.2767757495456595E-28	6.2767757495456595E-28	5.884477265199056E-28
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	31	15.897435897435896	5.0074301641738575E-29	7330328, 7332946, 7333044, 7333045, 7333047, 7333040, 7333041, 7333042, 7331466, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7333055, 7332220, 7333057, 7333051, 7330484, 7333052, 7333053, 7333054, 7332866, 7330485, 7332208, 7332124, 7330327, 7333039	135	37	1781	11.053253253253253	1.4521547476104186E-27	4.840515825368062E-28	4.005944131339086E-28
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	36	18.461538461538463	2.8787260709181274E-25	7330328, 7332946, 7333044, 7332593, 7333045, 7333047, 7333040, 7333041, 7333042, 7331466, 7331784, 7331783, 7333048, 7333049, 7331206, 7331205, 7331204, 7333050, 7333055, 7332186, 7332220, 7333057, 7332123, 7333051, 7330484, 7333052, 7333053, 7333054, 7331896, 7332866, 7330485, 7332208, 7332124, 7330327, 7333038, 7333039	135	62	1781	7.660215053763441	8.34830560566257E-24	2.0870764014156425E-24	1.7272356425508764E-24
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	31	15.897435897435896	5.062345509243071E-22	7333044, 7333045, 7330170, 7333047, 7333040, 7331467, 7330774, 7331466, 7330696, 7330773, 7331784, 7331783, 7333049, 7331206, 7331205, 7331204, 7333050, 7329844, 7332220, 7332221, 7333051, 7333052, 7333053, 7333054, 7331896, 7330485, 7332208, 7333037, 7332124, 7333038, 7333039	142	41	1312	6.985915492957746	1.366833287495629E-20	1.366833287495629E-20	1.214962922218337E-20
GOTERM_CC_DIRECT	GO:0005840~ribosome	31	15.897435897435896	3.832163431722411E-20	7333044, 7333045, 7330170, 7333047, 7333040, 7331467, 7330774, 7331466, 7330696, 7330773, 7331784, 7331783, 7333049, 7331206, 7331205, 7331204, 7333050, 7329844, 7332220, 7332221, 7333051, 7333052, 7333053, 7333054, 7331896, 7330485, 7332208, 7333037, 7332124, 7333038, 7333039	142	45	1312	6.364945226917057	1.034684126565051E-18	5.173420632825255E-19	4.598596118066893E-19
UP_KW_DOMAIN	KW-1134~Transmembrane beta strand	21	10.76923076923077	6.792057034136641E-12	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7329898, 7331293, 7333562, 7332594, 7331341, 7329692, 7329783, 7330256, 7332846, 7331526, 7333104, 7330842, 7330214, 7332864	59	76	1289	6.036797502230152	5.433609118199456E-11	5.433645627309313E-11	4.075234220481985E-11
UP_KW_DOMAIN	KW-0798~TonB box	17	8.717948717948717	1.5202250112066002E-9	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7331293, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7330842, 7330214	59	61	1289	6.088635732147819	1.2161800344578921E-8	6.080900044826401E-9	4.560675033619801E-9
INTERPRO	IPR036942:TonB_rcpt_b-brl_sf	20	10.256410256410255	2.9261919128924184E-9	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7329898, 7331293, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7333104, 7330842, 7330214, 7332864	188	69	3317	5.1140918902251	2.197567747108664E-6	1.5136380132188328E-6	1.5055760264640054E-6
INTERPRO	IPR037066:Plug_dom_sf	18	9.230769230769232	4.030993377413669E-9	7330946, 7330614, 7333309, 7329797, 7329698, 7329997, 7329898, 7331293, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7330842, 7330214, 7332864	188	56	3317	5.671162613981762	3.027271488265093E-6	1.5136380132188328E-6	1.5055760264640054E-6
UP_SEQ_FEATURE	DOMAIN:TonB-dependent receptor plug	17	8.717948717948717	9.81442711578354E-9	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7329898, 7331293, 7333562, 7332594, 7331341, 7330256, 7332846, 7331526, 7330842, 7330214	148	59	2976	5.793861658268439	1.5899359437909766E-6	1.5899371927569337E-6	1.5899371927569337E-6
KEGG_PATHWAY	ccs00020:Citrate cycle (TCA cycle)	14	7.179487179487179	1.4582730160420136E-8	7331979, 7332957, 7329732, 7329733, 7331272, 7331041, 7331040, 7331045, 7331265, 7331042, 7330123, 7331266, 7331966, 7331039	126	22	1235	6.237373737373737	9.332942998430127E-7	4.6664736513344436E-7	4.3748190481260407E-7
INTERPRO	IPR012910:Plug_dom	18	9.230769230769232	2.934017368888159E-8	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7329898, 7331293, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7330842, 7330214	188	63	3317	5.041033434650456	2.203422804103461E-5	7.344823480116692E-6	7.305703248531517E-6
UP_SEQ_FEATURE	DOMAIN:TonB-dependent receptor-like beta-barrel	16	8.205128205128204	4.595687980500494E-8	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7331293, 7333562, 7332594, 7331341, 7330256, 7332846, 7331526, 7330842, 7330214	148	57	2976	5.644381223328592	7.444986993898617E-6	3.7225072642054004E-6	3.7225072642054004E-6
INTERPRO	IPR000531:TonB-dep_rcpt_b-brl	17	8.717948717948717	1.1878621833703518E-7	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7331293, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7330842, 7330214	188	61	3317	4.917073596093477	8.920447629034989E-5	2.2302112492778355E-5	2.218332627444132E-5
KEGG_PATHWAY	ccs00190:Oxidative phosphorylation	20	10.256410256410255	2.097739428314374E-7	7329732, 7329733, 7333352, 7332197, 7332560, 7331072, 7333344, 7331071, 7332195, 7333351, 7332196, 7332558, 7332514, 7332559, 7332515, 7332135, 7333345, 7333357, 7332510, 7332511	126	53	1235	3.698712189278227	1.3425443630588063E-5	4.475177447070664E-6	4.195478856628748E-6
UP_KW_CELLULAR_COMPONENT	KW-0998~Cell outer membrane	21	10.76923076923077	1.6217114157060067E-6	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7329898, 7331293, 7333562, 7332594, 7331341, 7329692, 7329783, 7330256, 7332846, 7331526, 7333104, 7330842, 7330214, 7332864	90	87	1188	3.1862068965517243	2.4325395093116597E-5	2.4325671235590102E-5	2.1082248404178085E-5
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	10	5.128205128205128	1.9717922228276277E-6	7331041, 7331040, 7331979, 7332957, 7331042, 7330123, 7329732, 7331966, 7329733, 7331039	119	17	1417	7.004448838358873	1.7153137932346407E-4	8.4787065581588E-5	8.4787065581588E-5
UP_KW_MOLECULAR_FUNCTION	KW-0675~Receptor	19	9.743589743589745	2.4474794656688462E-6	7330946, 7330614, 7333309, 7329797, 7333380, 7329698, 7329997, 7329898, 7331293, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7330842, 7330566, 7330214	135	72	1781	3.4813786008230454	7.09744725542194E-5	1.4195380900879308E-5	1.1747901435210462E-5
